,ZIPCODE,CLASS,VIO_TYPE,Count,Tot,freq,zipfreq,overprev
171,10005,O,ELEVATOR,1011,1047,96.56160458,95.21770164,1.343902943
172,10005,R,ELEVATOR,204,211,96.68246446,95.21770164,1.464762813
173,10005,D,BOILER,3,57,5.263157895,1.427551749,3.835606146
174,10005,O,BOILER,9,1047,0.859598854,1.427551749,-0.567952895
175,10005,R,BOILER,6,211,2.843601896,1.427551749,1.416050147
176,10005,T,BOILER,2,2,100,1.427551749,98.57244825
177,10005,D,FAIL TO BENCHMARK,3,57,5.263157895,0.214132762,5.049025132
178,10005,D,CONSTRUCTION,3,57,5.263157895,0.499643112,4.763514783
179,10005,O,CONSTRUCTION,3,1047,0.286532951,0.499643112,-0.213110161
180,10005,R,CONSTRUCTION,1,211,0.473933649,0.499643112,-0.025709463
181,10005,D,FAIL TO CERTIFY,1,57,1.754385965,1.213418986,0.540966978
182,10005,O,FAIL TO CERTIFY,7,1047,0.668576886,1.213418986,-0.5448421
183,10005,S,FAIL TO CERTIFY,9,9,100,1.213418986,98.78658101
184,10005,H,FACADE,3,75,4,1.142041399,2.857958601
185,10005,O,FACADE,13,1047,1.241642789,1.142041399,0.09960139
186,10005,O,PLUMBING,4,1047,0.382043935,0.28551035,0.096533585
187,10006,C,CONSTRUCTION,3,3,100,2.152641879,97.84735812
188,10006,D,CONSTRUCTION,2,46,4.347826087,2.152641879,2.195184208
189,10006,R,CONSTRUCTION,6,171,3.50877193,2.152641879,1.356130051
190,10006,D,ELEVATOR,20,46,43.47826087,75.73385519,-32.25559432
191,10006,H,ELEVATOR,8,13,61.53846154,75.73385519,-14.19539365
192,10006,K,ELEVATOR,8,42,19.04761905,75.73385519,-56.68623614
193,10006,O,ELEVATOR,206,236,87.28813559,75.73385519,11.55428041
194,10006,R,ELEVATOR,145,171,84.79532164,75.73385519,9.061466452
195,10006,D,FAIL TO CERTIFY,15,46,32.60869565,6.066536204,26.54215945
196,10006,H,FAIL TO CERTIFY,4,13,30.76923077,6.066536204,24.70269457
197,10006,O,FAIL TO CERTIFY,12,236,5.084745763,6.066536204,-0.981790441
198,10006,D,BOILER,9,46,19.56521739,10.56751468,8.997702714
199,10006,K,BOILER,28,42,66.66666667,10.56751468,56.09915199
200,10006,R,BOILER,17,171,9.941520468,10.56751468,-0.625994209
201,10006,H,FACADE,1,13,7.692307692,4.305283757,3.387023935
202,10006,O,FACADE,18,236,7.627118644,4.305283757,3.321834887
203,10006,R,FACADE,3,171,1.754385965,4.305283757,-2.550897792
204,10006,K,LANDMARK,6,42,14.28571429,1.174168297,13.11154599
205,10007,D,ELEVATOR,67,98,68.36734694,81.09017497,-12.72282803
206,10007,K,ELEVATOR,34,69,49.27536232,81.09017497,-31.81481265
207,10007,L,ELEVATOR,14,18,77.77777778,81.09017497,-3.312397189
208,10007,O,ELEVATOR,804,894,89.93288591,81.09017497,8.84271094
209,10007,R,ELEVATOR,250,361,69.25207756,81.09017497,-11.8380974
210,10007,S,ELEVATOR,12,19,63.15789474,81.09017497,-17.93228023
211,10007,W,ELEVATOR,24,24,100,81.09017497,18.90982503
212,10007,D,FAIL TO CERTIFY,16,98,16.32653061,6.056527591,10.27000302
213,10007,K,FAIL TO CERTIFY,1,69,1.449275362,6.056527591,-4.607252229
214,10007,L,FAIL TO CERTIFY,2,18,11.11111111,6.056527591,5.05458352
215,10007,O,FAIL TO CERTIFY,20,894,2.237136465,6.056527591,-3.819391126
216,10007,R,FAIL TO CERTIFY,48,361,13.29639889,6.056527591,7.239871301
217,10007,S,FAIL TO CERTIFY,3,19,15.78947368,6.056527591,9.732946093
218,10007,D,BOILER,7,98,7.142857143,2.960969044,4.181888098
219,10007,K,BOILER,3,69,4.347826087,2.960969044,1.386857043
220,10007,O,BOILER,10,894,1.118568233,2.960969044,-1.842400812
221,10007,R,BOILER,22,361,6.094182825,2.960969044,3.133213781
222,10007,S,BOILER,2,19,10.52631579,2.960969044,7.565346745
223,10007,D,FACADE,3,98,3.06122449,3.230148048,-0.168923559
224,10007,H,FACADE,3,3,100,3.230148048,96.76985195
225,10007,O,FACADE,34,894,3.803131991,3.230148048,0.572983943
226,10007,R,FACADE,8,361,2.216066482,3.230148048,-1.014081566
227,10007,D,CONSTRUCTION,3,98,3.06122449,1.144010767,1.917213723
228,10007,O,CONSTRUCTION,4,894,0.447427293,1.144010767,-0.696583474
229,10007,R,CONSTRUCTION,9,361,2.493074792,1.144010767,1.349064025
230,10007,S,CONSTRUCTION,1,19,5.263157895,1.144010767,4.119147128
231,10007,D,LANDMARK,2,98,2.040816327,2.826379542,-0.785563216
232,10007,K,LANDMARK,31,69,44.92753623,2.826379542,42.10115669
233,10007,L,LANDMARK,2,18,11.11111111,2.826379542,8.284731569
234,10007,R,LANDMARK,7,361,1.939058172,2.826379542,-0.887321371
235,10007,O,FAIL TO BENCHMARK,19,894,2.125279642,1.480484522,0.64479512
236,10007,R,FAIL TO BENCHMARK,3,361,0.831024931,1.480484522,-0.649459591
237,10007,O,EMERGENCY,3,894,0.33557047,0.201884253,0.133686217
238,10007,R,FAILURE TO SUBMIT EER,14,361,3.878116343,0.942126514,2.935989829
239,10007,S,ZONING,1,19,5.263157895,0.067294751,5.195863144
240,10009,C,BOILER,210,297,70.70707071,57.20720721,13.4998635
241,10009,D,BOILER,8,44,18.18181818,57.20720721,-39.02538903
242,10009,R,BOILER,9,43,20.93023256,57.20720721,-36.27697465
243,10009,S,BOILER,27,60,45,57.20720721,-12.20720721
244,10009,C,FAIL TO CERTIFY,80,297,26.93602694,28.15315315,-1.217126217
245,10009,R,FAIL TO CERTIFY,18,43,41.86046512,28.15315315,13.70731196
246,10009,S,FAIL TO CERTIFY,27,60,45,28.15315315,16.84684685
247,10009,C,CONSTRUCTION,7,297,2.356902357,3.153153153,-0.796250796
248,10009,R,CONSTRUCTION,1,43,2.325581395,3.153153153,-0.827571758
249,10009,S,CONSTRUCTION,6,60,10,3.153153153,6.846846847
250,10009,D,ELEVATOR,36,44,81.81818182,11.03603604,70.78214578
251,10009,R,ELEVATOR,13,43,30.23255814,11.03603604,19.1965221
252,10009,R,FACADE,2,43,4.651162791,0.45045045,4.20071234
253,10010,C,BOILER,12,12,100,7.992296582,92.00770342
254,10010,D,BOILER,27,107,25.23364486,7.992296582,17.24134828
255,10010,K,BOILER,23,114,20.1754386,7.992296582,12.18314201
256,10010,L,BOILER,17,103,16.50485437,7.992296582,8.512557787
257,10010,O,BOILER,29,1126,2.575488455,7.992296582,-5.416808127
258,10010,R,BOILER,9,153,5.882352941,7.992296582,-2.10994364
259,10010,S,BOILER,33,48,68.75,7.992296582,60.75770342
260,10010,W,BOILER,16,362,4.419889503,7.992296582,-3.572407079
261,10010,D,ELEVATOR,70,107,65.42056075,77.70823303,-12.28767228
262,10010,H,ELEVATOR,21,46,45.65217391,77.70823303,-32.05605912
263,10010,K,ELEVATOR,9,114,7.894736842,77.70823303,-69.81349619
264,10010,L,ELEVATOR,32,103,31.06796117,77.70823303,-46.64027186
265,10010,O,ELEVATOR,1015,1126,90.14209591,77.70823303,12.43386289
266,10010,R,ELEVATOR,126,153,82.35294118,77.70823303,4.644708148
267,10010,S,ELEVATOR,6,48,12.5,77.70823303,-65.20823303
268,10010,W,ELEVATOR,335,362,92.54143646,77.70823303,14.83320344
269,10010,D,FACADE,7,107,6.542056075,2.599903707,3.942152368
270,10010,H,FACADE,10,46,21.73913043,2.599903707,19.13922673
271,10010,L,FACADE,6,103,5.825242718,2.599903707,3.225339011
272,10010,O,FACADE,24,1126,2.131438721,2.599903707,-0.468464986
273,10010,R,FACADE,4,153,2.614379085,2.599903707,0.014475378
274,10010,W,FACADE,3,362,0.828729282,2.599903707,-1.771174426
275,10010,D,CONSTRUCTION,3,107,2.803738318,1.348098219,1.455640099
276,10010,L,CONSTRUCTION,6,103,5.825242718,1.348098219,4.4771445
277,10010,O,CONSTRUCTION,16,1126,1.420959147,1.348098219,0.072860929
278,10010,S,CONSTRUCTION,3,48,6.25,1.348098219,4.901901781
279,10010,H,FAIL TO BENCHMARK,9,46,19.56521739,1.444390948,18.12082644
280,10010,O,FAIL TO BENCHMARK,15,1126,1.332149201,1.444390948,-0.112241748
281,10010,R,FAIL TO BENCHMARK,6,153,3.921568627,1.444390948,2.477177679
282,10010,H,FAIL TO CERTIFY,6,46,13.04347826,3.803562831,9.23991543
283,10010,L,FAIL TO CERTIFY,29,103,28.15533981,3.803562831,24.35177697
284,10010,O,FAIL TO CERTIFY,16,1126,1.420959147,3.803562831,-2.382603684
285,10010,R,FAIL TO CERTIFY,8,153,5.22875817,3.803562831,1.425195339
286,10010,S,FAIL TO CERTIFY,6,48,12.5,3.803562831,8.696437169
287,10010,V,FAIL TO CERTIFY,6,6,100,3.803562831,96.19643717
288,10010,W,FAIL TO CERTIFY,8,362,2.209944751,3.803562831,-1.59361808
289,10010,K,LANDMARK,82,114,71.92982456,4.57390467,67.35591989
290,10010,L,LANDMARK,10,103,9.708737864,4.57390467,5.134833194
291,10010,O,LANDMARK,3,1126,0.26642984,4.57390467,-4.30747483
292,10010,L,PLUMBING,3,103,2.912621359,0.144439095,2.768182264
293,10010,O,FAILURE TO SUBMIT EER,8,1126,0.710479574,0.38517092,0.325308654
294,10011,C,BOILER,76,156,48.71794872,19.47115385,29.24679487
295,10011,D,BOILER,12,140,8.571428571,19.47115385,-10.89972527
296,10011,K,BOILER,36,83,43.37349398,19.47115385,23.90234013
297,10011,L,BOILER,19,113,16.81415929,19.47115385,-2.656994554
298,10011,O,BOILER,22,344,6.395348837,19.47115385,-13.07580501
299,10011,R,BOILER,23,257,8.949416342,19.47115385,-10.5217375
300,10011,S,BOILER,55,80,68.75,19.47115385,49.27884615
301,10011,C,ELEVATOR,29,156,18.58974359,55.52884615,-36.93910256
302,10011,D,ELEVATOR,107,140,76.42857143,55.52884615,20.89972527
303,10011,H,ELEVATOR,27,60,45,55.52884615,-10.52884615
304,10011,K,ELEVATOR,27,83,32.53012048,55.52884615,-22.99872567
305,10011,L,ELEVATOR,63,113,55.75221239,55.52884615,0.223366236
306,10011,O,ELEVATOR,262,344,76.1627907,55.52884615,20.63394454
307,10011,P,ELEVATOR,12,12,100,55.52884615,44.47115385
308,10011,R,ELEVATOR,166,257,64.59143969,55.52884615,9.062593535
309,10011,C,FAIL TO CERTIFY,20,156,12.82051282,8.253205128,4.567307692
310,10011,H,FAIL TO CERTIFY,3,60,5,8.253205128,-3.253205128
311,10011,K,FAIL TO CERTIFY,11,83,13.25301205,8.253205128,4.99980692
312,10011,L,FAIL TO CERTIFY,3,113,2.654867257,8.253205128,-5.598337872
313,10011,O,FAIL TO CERTIFY,36,344,10.46511628,8.253205128,2.211911151
314,10011,R,FAIL TO CERTIFY,15,257,5.836575875,8.253205128,-2.416629253
315,10011,S,FAIL TO CERTIFY,12,80,15,8.253205128,6.746794872
316,10011,V,FAIL TO CERTIFY,3,3,100,8.253205128,91.74679487
317,10011,C,LANDMARK,17,156,10.8974359,3.766025641,7.131410256
318,10011,D,LANDMARK,8,140,5.714285714,3.766025641,1.948260073
319,10011,L,LANDMARK,6,113,5.309734513,3.766025641,1.543708872
320,10011,R,LANDMARK,6,257,2.33463035,3.766025641,-1.431395291
321,10011,S,LANDMARK,10,80,12.5,3.766025641,8.733974359
322,10011,C,CONSTRUCTION,9,156,5.769230769,3.044871795,2.724358974
323,10011,D,CONSTRUCTION,10,140,7.142857143,3.044871795,4.097985348
324,10011,H,CONSTRUCTION,3,60,5,3.044871795,1.955128205
325,10011,K,CONSTRUCTION,9,83,10.84337349,3.044871795,7.798501699
326,10011,R,CONSTRUCTION,4,257,1.556420233,3.044871795,-1.488451561
327,10011,S,CONSTRUCTION,3,80,3.75,3.044871795,0.705128205
328,10011,C,FACADE,3,156,1.923076923,5.208333333,-3.28525641
329,10011,H,FACADE,9,60,15,5.208333333,9.791666667
330,10011,L,FACADE,18,113,15.92920354,5.208333333,10.72087021
331,10011,O,FACADE,18,344,5.23255814,5.208333333,0.024224806
332,10011,R,FACADE,17,257,6.614785992,5.208333333,1.406452659
333,10011,C,PLUMBING,2,156,1.282051282,1.201923077,0.080128205
334,10011,H,PLUMBING,3,60,5,1.201923077,3.798076923
335,10011,L,PLUMBING,4,113,3.539823009,1.201923077,2.337899932
336,10011,O,PLUMBING,3,344,0.872093023,1.201923077,-0.329830054
337,10011,R,PLUMBING,3,257,1.167315175,1.201923077,-0.034607902
338,10011,D,FAIL TO BENCHMARK,3,140,2.142857143,3.525641026,-1.382783883
339,10011,H,FAIL TO BENCHMARK,15,60,25,3.525641026,21.47435897
340,10011,O,FAIL TO BENCHMARK,3,344,0.872093023,3.525641026,-2.653548002
341,10011,R,FAIL TO BENCHMARK,23,257,8.949416342,3.525641026,5.423775317
342,10012,B,BOILER,6,9,66.66666667,30.06535948,36.60130719
343,10012,C,BOILER,152,332,45.78313253,30.06535948,15.71777305
344,10012,D,BOILER,9,66,13.63636364,30.06535948,-16.42899584
345,10012,H,BOILER,1,41,2.43902439,30.06535948,-27.62633509
346,10012,K,BOILER,39,63,61.9047619,30.06535948,31.83940243
347,10012,O,BOILER,18,284,6.338028169,30.06535948,-23.72733131
348,10012,R,BOILER,48,170,28.23529412,30.06535948,-1.830065359
349,10012,S,BOILER,49,82,59.75609756,30.06535948,29.69073808
350,10012,B,LANDMARK,3,9,33.33333333,3.641456583,29.69187675
351,10012,C,LANDMARK,6,332,1.807228916,3.641456583,-1.834227667
352,10012,K,LANDMARK,3,63,4.761904762,3.641456583,1.120448179
353,10012,O,LANDMARK,7,284,2.464788732,3.641456583,-1.17666785
354,10012,R,LANDMARK,15,170,8.823529412,3.641456583,5.182072829
355,10012,S,LANDMARK,5,82,6.097560976,3.641456583,2.456104393
356,10012,C,FAIL TO CERTIFY,105,332,31.62650602,15.2194211,16.40708492
357,10012,D,FAIL TO CERTIFY,12,66,18.18181818,15.2194211,2.96239708
358,10012,K,FAIL TO CERTIFY,3,63,4.761904762,15.2194211,-10.45751634
359,10012,O,FAIL TO CERTIFY,27,284,9.507042254,15.2194211,-5.712378848
360,10012,R,FAIL TO CERTIFY,3,170,1.764705882,15.2194211,-13.45471522
361,10012,S,FAIL TO CERTIFY,13,82,15.85365854,15.2194211,0.634237435
362,10012,C,CONSTRUCTION,27,332,8.13253012,3.548085901,4.584444219
363,10012,K,CONSTRUCTION,3,63,4.761904762,3.548085901,1.213818861
364,10012,R,CONSTRUCTION,3,170,1.764705882,3.548085901,-1.783380019
365,10012,S,CONSTRUCTION,5,82,6.097560976,3.548085901,2.549475075
366,10012,C,FACADE,23,332,6.927710843,4.66853408,2.259176763
367,10012,D,FACADE,9,66,13.63636364,4.66853408,8.967829556
368,10012,O,FACADE,18,284,6.338028169,4.66853408,1.669494089
369,10012,C,ELEVATOR,15,332,4.518072289,40.98972923,-36.47165694
370,10012,D,ELEVATOR,36,66,54.54545455,40.98972923,13.55572532
